W,L,S
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.21472209804798092,0.3546416331396215,0.4306362688123976
0.14006788420999924,0.2243301171626089,0.6356019986273919
0.07845572978762475,0.20753275790305503,0.7140115123093203
0.1107992769552806,0.14937587251288562,0.7398248505318338
0.15050372648434263,0.2568536662706382,0.5926426072450192
0.21013415616468917,0.1827749627385038,0.607090881096807
0.11932726803193246,0.10064583094473384,0.7800269010233337
0.16061949716142843,0.06904558154815062,0.7703349212904209
0.21106515134608433,0.04624190330424286,0.7426929453496728
0.31765544817567115,0.07555983978638887,0.60678471203794
0.19142898830330732,0.07520650391654589,0.7333645077801467
0.249315060697014,0.049920364564007204,0.7007645747389788
0.3160286760650968,0.032250560255053407,0.6517207636798499
0.17346080955725768,0.017165172777075122,0.8093740176656672
0.09504427046132155,0.01553408681575016,0.8894216427229283
0.12579990473633548,0.010479043339300892,0.8637210519243637
0.16447818865863004,0.006982825298636418,0.8285389860427335
0.21197658548422063,0.004586615053949819,0.7834367994618295
0.2686265998915338,0.0029623403405810854,0.7284110597678852
0.1548828826903944,0.0028209951341957888,0.8422961221754097
0.23639683766222078,0.005450490206892941,0.7581526721308863
0.36152767279906783,0.009050050423052075,0.6294222767778801
0.43665940843053747,0.00557100839895092,0.5577695831705116
0.5907280342448391,0.009295974758120044,0.39997599099704095
0.7046117950122397,0.014036287338616695,0.28135191764914363
0.5453396821444066,0.017942477825296323,0.43671784003029707
0.6233173542213656,0.010452160592821847,0.3662304851858126
0.42631781279521086,0.006932124801014175,0.566750062403775
0.2485262482311599,0.003918692592032522,0.7475550591768074
0.31104830744242845,0.002499644873233815,0.6864520476843377
0.1838464461532293,0.0024401621442222323,0.8137133917025484
0.27571160487800356,0.004632479217160118,0.7196559159048364
0.4159208192696087,0.008619567127396708,0.5754596136029946
0.26253133148505836,0.00898605171718758,0.7284826167977541
0.1367686210130926,0.004539523609149108,0.8586918553777584
0.07327869930725976,0.004017117539916225,0.922704183152824
0.09740581938656044,0.0027214679810152547,0.8998727126324243
0.0510876310481162,0.0023574748377447434,0.946554894114139
0.08343776497544476,0.004874038447844762,0.9116881965767105
0.03879069398341638,0.0021973026338782163,0.9590120033827053
0.017545941926942164,0.0009637736602695812,0.9814902844127883
0.02377032436035137,0.000665449359079088,0.9755642262805696
0.03962164885991828,0.0014041303773846623,0.9589742207626971
0.02016150217978628,0.0011800781078666557,0.9786584197123471
0.00901820755554211,0.000511851678082474,0.9904699407663754
0.01225341510428472,0.0003544562095691192,0.9873921286861461
0.005453969927586114,0.00015298689142891373,0.994393043180985
0.009211673011583868,0.0003270958105756593,0.9904612311778405
0.015514893386078952,0.0006973972831531112,0.983787709330768
0.021032477688072638,0.00048184064359288134,0.9784856816683345
