W,L,S
0.2,0.6,0.2
0.12562113154912388,0.6224391944904542,0.25193967396042194
0.09668787814503825,0.4645605198111231,0.43875160204383856
0.055443178362615565,0.43997840860003856,0.5045784130373459
0.08531212941937723,0.34504486269603785,0.5696430078845849
0.09942722958979829,0.5090554707945188,0.391517299615683
0.15388244123794015,0.4015414434766807,0.4445761152853791
0.09933247005497979,0.25134403443647907,0.6493234955085412
0.14113060743257644,0.18200364905822983,0.6768657435091937
0.1931975101775801,0.12698193700773436,0.6798205528146856
0.2759534510725805,0.1969208965685441,0.5271256523588753
0.16640022930884737,0.19612044562553468,0.637479325065618
0.22668287697863146,0.13616616454162098,0.6371509584797476
0.29687960865053525,0.09088922397638904,0.6122311673730757
0.16770349076853658,0.04978633620541825,0.7825101730260452
0.09218039397585943,0.04519803989595932,0.8626215661281812
0.12321750165630195,0.030791792952220478,0.8459907053914776
0.16221278162800162,0.020659946304462707,0.8171272720675357
0.21004975078615226,0.013634770276633547,0.7763154789372142
0.2670444468164686,0.008834678373459737,0.7241208748100717
0.15401393755352077,0.00841550520412211,0.8375705572423571
0.23384766880477048,0.016175145674491062,0.7499771855207384
0.35510032117531076,0.026667467419552126,0.6182322114051372
0.43184775350682825,0.01652886035710374,0.5516233861360681
0.5799457128297485,0.027378897199810917,0.3926753899704406
0.6853716482354903,0.04095903640759048,0.27366931535691913
0.5264481148892671,0.05196275241016738,0.4215891327005654
0.6105541344927072,0.03071441772530572,0.35873144778198696
0.4204880613578723,0.02051199103943719,0.5589999476026905
0.24659359921022445,0.011664657363301235,0.7417417434264744
0.3095010221558435,0.007461631760549016,0.6830373460836074
0.18295357338537893,0.007284933594306697,0.8097614930203144
0.2731805979925399,0.013769860466610814,0.7130495415408492
0.408872216240779,0.02542047441099838,0.5657073093482227
0.25789639087293786,0.026482214061282112,0.71562139506578
0.13553806452538983,0.01349603964623909,0.8509658958283711
0.07269465337301403,0.011955300921693654,0.9153500457052922
0.09687851582880769,0.008120206180805157,0.8950012779903871
0.05084788582534467,0.007039234875044446,0.942112879299611
0.08263225935716653,0.014480953891477228,0.9028867867513563
0.038620970064923196,0.006563065818018154,0.9548159641170586
0.017512186359048998,0.0028857585446582647,0.9796020550962926
0.02373873051433913,0.0019936946715544933,0.9742675748141064
0.03951069253268498,0.004200594766723907,0.9562887127005912
0.02011402992703055,0.003531898491422098,0.9763540715815473
0.009008985027333986,0.0015339846889730144,0.9894570302836929
0.012244734659815326,0.0010626153275049227,0.9866926500126798
0.005452301666220019,0.00045882028730778165,0.9940888780464721
0.009205650751994665,0.000980645901394969,0.9898137033466105
0.015493283438524656,0.002089277736225341,0.98241743882525
0.02101222859657205,0.0014441302494809603,0.9775436411539471
