W,L,S
0.2,0.6,0.2
0.2,0.6,0.2
0.16202945990180034,0.4713584288052373,0.3666121112929624
0.16202945990180034,0.4713584288052373,0.3666121112929624
0.16202945990180034,0.4713584288052373,0.3666121112929624
0.16202945990180034,0.4713584288052373,0.3666121112929624
0.16202945990180034,0.4713584288052373,0.3666121112929624
0.11185164051355208,0.31552639087018547,0.5726219686162626
0.11185164051355208,0.31552639087018547,0.5726219686162626
0.11185164051355208,0.31552639087018547,0.5726219686162626
0.11185164051355208,0.31552639087018547,0.5726219686162626
0.11185164051355208,0.31552639087018547,0.5726219686162626
0.11185164051355208,0.31552639087018547,0.5726219686162626
0.11185164051355208,0.31552639087018547,0.5726219686162626
0.06527876104914643,0.17856702913919606,0.7561542098116575
0.06527876104914643,0.17856702913919606,0.7561542098116575
0.06527876104914643,0.17856702913919606,0.7561542098116575
0.06527876104914643,0.17856702913919606,0.7561542098116575
0.06527876104914643,0.17856702913919606,0.7561542098116575
0.06527876104914643,0.17856702913919606,0.7561542098116575
0.06527876104914643,0.17856702913919606,0.7561542098116575
0.06527876104914643,0.17856702913919606,0.7561542098116575
0.06527876104914643,0.17856702913919606,0.7561542098116575
0.06527876104914643,0.17856702913919606,0.7561542098116575
0.09511066680875271,0.3209038735972578,0.5839854595939895
0.09511066680875271,0.3209038735972578,0.5839854595939895
0.09511066680875271,0.3209038735972578,0.5839854595939895
0.09511066680875271,0.3209038735972578,0.5839854595939895
0.05505265059030018,0.18011919817635344,0.7648281512333464
0.028084734741302,0.08910214029410979,0.8828131249645882
0.028084734741302,0.08910214029410979,0.8828131249645882
0.028084734741302,0.08910214029410979,0.8828131249645882
0.028084734741302,0.08910214029410979,0.8828131249645882
0.04634900462977565,0.18137381360758015,0.7722771817626441
0.04634900462977565,0.18137381360758015,0.7722771817626441
0.02353217638774082,0.08929606190902192,0.8871717617032373
0.02353217638774082,0.08929606190902192,0.8871717617032373
0.02353217638774082,0.08929606190902192,0.8871717617032373
0.02353217638774082,0.08929606190902192,0.8871717617032373
0.02353217638774082,0.08929606190902192,0.8871717617032373
0.011113396083003156,0.04089338324176959,0.9479932206752272
0.005061385898365481,0.01805975019853898,0.9768788639030955
0.005061385898365481,0.01805975019853898,0.9768788639030955
0.005061385898365481,0.01805975019853898,0.9768788639030955
0.005061385898365481,0.01805975019853898,0.9768788639030955
0.002266746580772877,0.007842983401119325,0.9898902700181078
0.002266746580772877,0.007842983401119325,0.9898902700181078
0.0010076114037382423,0.0033807062697268136,0.995611682326535
0.0010076114037382423,0.0033807062697268136,0.995611682326535
0.0010076114037382423,0.0033807062697268136,0.995611682326535
0.0010076114037382423,0.0033807062697268136,0.995611682326535
